사번,년월,초과근무시간
E0024,2025-04,28.9
E0024,2025-05,34.3
E0024,2025-06,20.0
E0024,2025-07,31.7
E0024,2025-08,36.2
E0024,2025-09,34.1
E0024,2025-10,36.0
E0024,2025-11,33.9
E0024,2025-12,40.5
E0024,2026-01,15.8
E0024,2026-02,16.5
E0024,2026-03,16.9
E0025,2025-01,16.6
E0025,2025-02,22.0
E0025,2025-03,24.5
E0025,2025-04,19.9
E0025,2025-05,26.3
E0025,2025-06,24.0
E0025,2025-07,15.6
E0025,2025-08,23.0
E0025,2025-09,24.0
E0025,2025-10,28.1
E0025,2025-11,20.8
E0025,2025-12,23.8
E0025,2026-01,17.9
E0025,2026-02,12.0
E0025,2026-03,11.7
E0026,2025-01,27.9
E0026,2025-02,24.6
E0026,2025-03,25.5
E0026,2025-04,18.1
E0026,2025-05,25.0
E0026,2025-06,33.1
E0026,2025-07,26.2
E0026,2025-08,30.2
E0026,2025-09,27.8
E0026,2025-10,28.5
E0026,2025-11,34.8
E0026,2025-12,25.2
E0026,2026-01,15.2
E0026,2026-02,16.7
E0026,2026-03,8.9
E0027,2025-01,15.4
E0027,2025-02,21.4
E0027,2025-03,16.7
E0027,2025-04,15.9
E0027,2025-05,20.9
E0027,2025-06,18.1
E0027,2025-07,16.4
E0027,2025-08,15.7
E0027,2025-09,13.7
E0027,2025-10,10.8
E0027,2025-11,21.5
E0027,2025-12,15.3
E0027,2026-01,15.6
E0027,2026-02,15.8
E0027,2026-03,15.4
E0028,2025-01,0.0
E0028,2025-02,12.4
E0028,2025-03,5.6
E0028,2025-04,5.4
E0028,2025-05,0.0
E0028,2025-06,7.6
E0028,2025-07,3.2
E0028,2025-08,3.2
E0028,2025-09,6.9
E0028,2025-10,5.8
E0028,2025-11,1.4
E0028,2025-12,0.0
E0028,2026-01,14.3
E0028,2026-02,19.2
E0028,2026-03,13.9
E0029,2025-01,23.9
E0029,2025-02,23.5
E0029,2025-03,33.6
E0029,2025-04,14.2
E0029,2025-05,23.8
E0029,2025-06,16.7
E0029,2025-07,21.5
E0029,2025-08,21.5
E0029,2025-09,25.4
E0029,2025-10,25.5
E0029,2025-11,28.7
E0029,2025-12,24.2
E0029,2026-01,15.2
E0029,2026-02,12.8
E0029,2026-03,13.1
E0030,2025-01,26.6
E0030,2025-02,28.2
E0030,2025-03,23.7
E0030,2025-04,27.4
E0030,2025-05,23.6
E0030,2025-06,22.7
E0030,2025-07,20.1
E0030,2025-08,24.2
E0030,2025-09,24.1
E0030,2025-10,24.1
E0030,2025-11,27.3
E0030,2025-12,26.3
E0030,2026-01,17.6
E0030,2026-02,16.9
E0030,2026-03,22.9
E0031,2025-01,24.2
E0031,2025-02,24.3
E0031,2025-03,30.6
E0031,2025-04,26.2
E0031,2025-05,29.7
E0031,2025-06,26.4
E0031,2025-07,30.5
E0031,2025-08,26.0
E0031,2025-09,31.7
E0031,2025-10,25.8
E0031,2025-11,30.6
E0031,2025-12,23.3
E0031,2026-01,21.0
E0031,2026-02,14.1
E0031,2026-03,17.9
E0032,2025-01,10.1
E0032,2025-02,17.4
E0032,2025-03,19.7
E0032,2025-04,18.3
E0032,2025-05,17.6
E0032,2025-06,20.5
E0032,2025-07,18.5
E0032,2025-08,8.5
E0032,2025-09,18.4
E0032,2025-10,18.4
E0032,2025-11,7.1
E0032,2025-12,11.9
E0032,2026-01,17.5
E0032,2026-02,16.9
E0032,2026-03,15.8
E0033,2025-01,22.1
E0033,2025-02,15.3
E0033,2025-03,11.3
E0033,2025-04,19.3
E0033,2025-05,14.7
E0033,2025-06,14.3
E0033,2025-07,19.3
E0033,2025-08,17.4
E0033,2025-09,15.3
E0033,2025-10,17.1
E0033,2025-11,15.1
E0033,2025-12,19.5
E0033,2026-01,16.0
E0033,2026-02,14.2
E0033,2026-03,18.2
E0034,2025-01,6.0
E0034,2025-02,10.9
E0034,2025-03,10.0
E0034,2025-04,12.9
E0034,2025-05,7.1
E0034,2025-06,17.6
E0034,2025-07,8.7
E0034,2025-08,15.9
E0034,2025-09,14.1
E0034,2025-10,12.5
E0034,2025-11,12.6
E0034,2025-12,4.2
E0034,2026-01,24.9
E0034,2026-02,17.0
E0034,2026-03,14.4
E0035,2025-01,19.8
E0035,2025-02,34.8
E0035,2025-03,22.7
E0035,2025-04,23.4
E0035,2025-05,14.1
E0035,2025-06,20.8
E0035,2025-07,20.4
E0035,2025-08,18.8
E0035,2025-09,24.1
E0035,2025-10,20.1
E0035,2025-11,18.9
E0035,2025-12,15.9
E0036,2025-01,0.0
E0036,2025-02,0.0
E0036,2025-03,1.3
E0036,2025-04,0.7
E0036,2025-05,0.2
E0036,2025-06,0.0
E0036,2025-07,0.0
E0036,2025-08,3.2
E0036,2025-09,8.6
E0036,2025-10,9.1
E0036,2025-11,10.7
E0036,2025-12,3.8
E0036,2026-01,12.9
E0036,2026-02,13.3
E0036,2026-03,11.3
E0037,2025-01,7.9
E0037,2025-02,10.6
E0037,2025-03,6.6
E0037,2025-04,11.3
E0037,2025-05,7.4
E0037,2025-06,9.2
E0037,2025-07,5.2
E0037,2025-08,11.9
E0037,2025-09,4.1
E0037,2025-10,5.5
E0037,2025-11,6.7
E0037,2025-12,4.7
E0037,2026-01,16.9
E0037,2026-02,15.3
E0037,2026-03,14.1
E0038,2025-01,18.0
E0038,2025-02,16.2
E0038,2025-03,11.8
E0038,2025-04,13.6
E0038,2025-05,16.2
E0038,2025-06,16.5
E0038,2025-07,11.9
E0038,2025-08,15.8
E0038,2025-09,18.2
E0038,2025-10,14.5
E0038,2025-11,11.6
E0038,2025-12,21.0
E0038,2026-01,13.1
E0038,2026-02,18.3
E0038,2026-03,15.0
E0039,2025-01,24.4
E0039,2025-02,20.2
E0039,2025-03,22.3
E0039,2025-04,20.5
E0039,2025-05,17.9
E0039,2025-06,24.6
E0039,2025-07,28.6
E0039,2025-08,25.5
E0039,2025-09,22.9
E0039,2025-10,20.6
E0039,2025-11,11.2
E0039,2025-12,28.2
E0040,2025-01,45.2
E0040,2025-02,51.2
E0040,2025-03,51.6
E0040,2025-04,51.5
E0040,2025-05,42.3
E0040,2025-06,51.8
E0040,2025-07,46.0
E0040,2025-08,47.5
E0040,2025-09,47.4
E0040,2025-10,45.4
E0040,2025-11,46.7
E0040,2025-12,48.4
E0040,2026-01,12.7
E0040,2026-02,13.4
E0040,2026-03,14.8
E0041,2025-01,8.8
E0041,2025-02,6.0
E0041,2025-03,16.1
E0041,2025-04,13.7
E0041,2025-05,5.1
E0041,2025-06,14.2
E0041,2025-07,11.8
E0041,2025-08,7.3
E0041,2025-09,10.4
E0041,2025-10,14.0
E0041,2025-11,8.6
E0041,2025-12,8.5
E0041,2026-01,17.5
E0041,2026-02,13.1
E0041,2026-03,15.2
E0042,2025-01,20.3
E0042,2025-02,18.8
E0042,2025-03,18.2
E0042,2025-04,18.1
E0042,2025-05,24.3
E0042,2025-06,19.0
E0042,2025-07,26.9
E0042,2025-08,31.2
E0042,2025-09,22.0
E0042,2025-10,30.7
E0042,2025-11,24.8
E0042,2025-12,23.3
E0042,2026-01,13.2
E0042,2026-02,18.1
E0042,2026-03,13.8
E0043,2025-01,15.6
E0043,2025-02,8.0
E0043,2025-03,14.0
E0043,2025-04,11.3
E0043,2025-05,19.3
E0043,2025-06,22.7
E0043,2025-07,16.7
E0043,2025-08,16.8
E0043,2025-09,19.7
E0043,2025-10,16.3
E0043,2025-11,20.6
E0043,2025-12,25.3
E0043,2026-01,13.2
E0043,2026-02,11.3
E0043,2026-03,15.4
E0044,2025-01,12.4
E0044,2025-02,4.2
E0044,2025-03,10.0
E0044,2025-04,4.0
E0044,2025-05,5.8
E0044,2025-06,13.2
E0044,2025-07,2.7
E0044,2025-08,5.1
E0044,2025-09,11.2
E0044,2025-10,3.2
E0044,2025-11,0.0
E0044,2025-12,0.7
E0044,2026-01,14.7
E0044,2026-02,11.9
E0044,2026-03,18.6
E0045,2025-01,17.3
E0045,2025-02,19.6
E0045,2025-03,18.5
E0045,2025-04,17.7
E0045,2025-05,20.1
E0045,2025-06,17.8
E0045,2025-07,17.0
E0045,2025-08,20.7
E0045,2025-09,20.2
E0045,2025-10,23.8
E0045,2025-11,27.8
E0045,2025-12,11.3
E0045,2026-01,13.1
E0045,2026-02,19.4
E0045,2026-03,20.6
E0046,2025-01,18.7
E0046,2025-02,17.2
E0046,2025-03,21.7
E0046,2025-04,14.6
E0046,2025-05,15.1
E0046,2025-06,11.4
E0046,2025-07,20.7
E0046,2025-08,17.2
E0046,2025-09,21.1
E0046,2025-10,14.9
E0046,2025-11,13.9
E0046,2025-12,19.5
E0047,2025-01,8.4
E0047,2025-02,12.2
E0047,2025-03,11.8
E0047,2025-04,10.1
E0047,2025-05,7.3
E0047,2025-06,11.2
E0047,2025-07,6.7
E0047,2025-08,10.1
E0047,2025-09,16.5
E0047,2025-10,14.7
E0047,2025-11,7.7
E0047,2025-12,10.8
E0047,2026-01,16.3
E0047,2026-02,15.2
E0047,2026-03,16.4
E0048,2025-01,10.5
E0048,2025-02,13.7
E0048,2025-03,8.9
E0048,2025-04,10.0
E0048,2025-05,20.1
E0048,2025-06,13.1
E0048,2025-07,10.8
E0048,2025-08,4.1
E0048,2025-09,13.3
E0048,2025-10,21.3
E0048,2025-11,10.3
E0048,2025-12,11.1
E0048,2026-01,14.0
E0048,2026-02,15.6
E0048,2026-03,15.6
E0049,2025-01,13.1
E0049,2025-02,10.4
E0049,2025-03,21.7
E0049,2025-04,16.8
E0049,2025-05,15.7
E0049,2025-06,21.4
E0049,2025-07,19.7
E0049,2025-08,13.2
E0049,2025-09,11.8
E0049,2025-10,11.8
E0049,2025-11,10.7
E0049,2025-12,12.0
E0049,2026-01,18.2
E0049,2026-02,13.8
E0049,2026-03,16.0
E0050,2025-01,10.3
E0050,2025-02,7.8
E0050,2025-03,2.7
E0050,2025-04,16.5
E0050,2025-05,1.7
E0050,2025-06,13.8
E0050,2025-07,16.2
E0050,2025-08,14.1
E0050,2025-09,11.8
E0050,2025-10,13.2
E0050,2025-11,10.6
E0050,2025-12,12.0
E0050,2026-01,15.3
E0050,2026-02,12.4
E0050,2026-03,14.6
E0051,2025-01,33.5
E0051,2025-02,32.0
E0051,2025-03,39.5
E0051,2025-04,38.2
E0051,2025-05,34.1
E0051,2025-06,34.9
E0051,2025-07,31.7
E0051,2025-08,36.2
E0051,2025-09,34.3
E0051,2025-10,33.4
E0051,2025-11,35.8
E0051,2025-12,35.1
E0052,2025-01,10.4
E0052,2025-02,17.4
E0052,2025-03,17.7
E0052,2025-04,11.1
E0052,2025-05,26.6
E0052,2025-06,10.0
E0052,2025-07,16.3
E0052,2025-08,16.1
E0052,2025-09,16.7
E0052,2025-10,20.6
E0052,2025-11,12.7
E0052,2025-12,14.0
E0052,2026-01,17.1
E0052,2026-02,14.7
E0052,2026-03,14.6
E0053,2025-01,7.5
E0053,2025-02,0.0
E0053,2025-03,6.3
E0053,2025-04,7.4
E0053,2025-05,3.0
E0053,2025-06,14.5
E0053,2025-07,6.8
E0053,2025-08,2.8
E0053,2025-09,3.5
E0053,2025-10,2.6
E0053,2025-11,2.8
E0053,2025-12,7.1
E0053,2026-01,10.6
E0053,2026-02,17.2
E0053,2026-03,13.1
E0054,2025-01,6.6
E0054,2025-02,6.7
E0054,2025-03,7.6
E0054,2025-04,6.6
E0054,2025-05,13.6
E0054,2025-06,8.5
E0054,2025-07,0.8
E0054,2025-08,5.0
E0054,2025-09,0.4
E0054,2025-10,5.0
E0054,2025-11,0.0
E0054,2025-12,4.0
E0054,2026-01,15.5
E0054,2026-02,16.1
E0054,2026-03,16.6
E0055,2025-01,12.7
E0055,2025-02,7.8
E0055,2025-03,13.2
E0055,2025-04,11.7
E0055,2025-05,8.8
E0055,2025-06,16.9
E0055,2025-07,11.8
E0055,2025-08,17.7
E0055,2025-09,14.0
E0055,2025-10,11.6
E0055,2025-11,9.3
E0055,2025-12,8.5
E0055,2026-01,18.1
E0055,2026-02,16.8
E0055,2026-03,14.3
E0056,2025-01,17.1
E0056,2025-02,17.8
E0056,2025-03,13.0
E0056,2025-04,11.5
E0056,2025-05,19.2
E0056,2025-06,19.4
E0056,2025-07,13.1
E0056,2025-08,15.6
E0056,2025-09,18.4
E0056,2025-10,12.0
E0056,2025-11,12.9
E0056,2025-12,19.6
E0056,2026-01,15.3
E0056,2026-02,14.6
E0056,2026-03,16.9
E0057,2025-01,8.1
E0057,2025-02,11.9
E0057,2025-03,12.0
E0057,2025-04,6.8
E0057,2025-05,15.5
E0057,2025-06,5.4
E0057,2025-07,12.7
E0057,2025-08,9.8
E0057,2025-09,12.0
E0057,2025-10,10.7
E0057,2025-11,7.1
E0057,2025-12,10.4
E0057,2026-01,18.6
E0057,2026-02,13.7
E0057,2026-03,16.2
E0058,2025-01,14.7
E0058,2025-02,11.8
E0058,2025-03,10.9
E0058,2025-04,4.9
E0058,2025-05,9.3
E0058,2025-06,9.8
E0058,2025-07,16.2
E0058,2025-08,11.3
E0058,2025-09,14.8
E0058,2025-10,9.7
E0058,2025-11,4.6
E0058,2025-12,16.7
E0058,2026-01,19.9
E0058,2026-02,15.4
E0058,2026-03,15.6
E0059,2025-01,10.2
E0059,2025-02,17.0
E0059,2025-03,12.4
E0059,2025-04,18.8
E0059,2025-05,26.0
E0059,2025-06,15.1
E0059,2025-07,7.8
E0059,2025-08,15.5
E0059,2025-09,14.8
E0059,2025-10,8.4
E0059,2025-11,10.7
E0059,2025-12,11.5
E0059,2026-01,13.7
E0059,2026-02,18.0
E0059,2026-03,15.0
E0060,2025-01,4.6
E0060,2025-02,0.0
E0060,2025-03,0.0
E0060,2025-04,0.0
E0060,2025-05,0.0
E0060,2025-06,5.7
E0060,2025-07,3.6
E0060,2025-08,6.4
E0060,2025-09,0.4
E0060,2025-10,0.3
E0060,2025-11,4.6
E0060,2025-12,6.8
E0060,2026-01,19.2
E0060,2026-02,13.6
E0060,2026-03,13.1
E0061,2025-01,11.5
E0061,2025-02,3.1
E0061,2025-03,11.3
E0061,2025-04,13.6
E0061,2025-05,9.2
E0061,2025-06,12.2
E0061,2025-07,9.6
E0061,2025-08,3.0
E0061,2025-09,11.3
E0061,2025-10,9.1
E0061,2025-11,3.5
E0061,2025-12,5.3
E0061,2026-01,15.0
E0061,2026-02,14.1
E0061,2026-03,11.2
E0062,2025-01,8.9
E0062,2025-02,16.8
E0062,2025-03,14.5
E0062,2025-04,0.0
E0062,2025-05,7.3
E0062,2025-06,13.2
E0062,2025-07,5.6
E0062,2025-08,5.2
E0062,2025-09,5.1
E0062,2025-10,10.6
E0062,2025-11,8.8
E0062,2025-12,9.4
E0062,2026-01,13.5
E0062,2026-02,14.8
E0062,2026-03,14.2
E0063,2025-01,10.7
E0063,2025-02,18.5
E0063,2025-03,10.3
E0063,2025-04,15.0
E0063,2025-05,3.2
E0063,2025-06,11.4
E0063,2025-07,9.6
E0063,2025-08,11.9
E0063,2025-09,5.0
E0063,2025-10,18.1
E0063,2025-11,12.2
E0063,2025-12,20.5
E0064,2025-01,11.2
E0064,2025-02,9.2
E0064,2025-03,8.2
E0064,2025-04,10.8
E0064,2025-05,11.1
E0064,2025-06,10.1
E0064,2025-07,17.2
E0064,2025-08,12.7
E0064,2025-09,5.6
E0064,2025-10,4.9
E0064,2025-11,9.9
E0064,2025-12,8.9
E0064,2026-01,14.6
E0064,2026-02,15.3
E0064,2026-03,15.7
E0065,2025-01,5.4
E0065,2025-02,0.0
E0065,2025-03,7.9
E0065,2025-04,2.8
E0065,2025-05,13.2
E0065,2025-06,5.3
E0065,2025-07,3.9
E0065,2025-08,6.3
E0065,2025-09,1.7
E0065,2025-10,11.0
E0065,2025-11,13.8
E0065,2025-12,7.3
E0065,2026-01,20.1
E0065,2026-02,15.4
E0065,2026-03,17.8
E0066,2025-01,22.1
E0066,2025-02,17.1
E0066,2025-03,19.4
E0066,2025-04,21.6
E0066,2025-05,14.9
E0066,2025-06,25.8
E0066,2025-07,13.3
E0066,2025-08,11.2
E0066,2025-09,26.4
E0066,2025-10,22.6
E0066,2025-11,15.7
E0066,2025-12,20.1
E0066,2026-01,12.5
E0066,2026-02,14.6
E0066,2026-03,15.1
E0067,2025-01,13.5
E0067,2025-02,12.9
E0067,2025-03,8.4
E0067,2025-04,13.8
E0067,2025-05,17.2
E0067,2025-06,5.6
E0067,2025-07,10.6
E0067,2025-08,7.9
E0067,2025-09,9.5
E0067,2025-10,14.0
E0067,2025-11,7.3
E0067,2025-12,19.5
E0067,2026-01,11.9
E0067,2026-02,13.9
E0067,2026-03,17.9
E0068,2025-01,7.0
E0068,2025-02,5.2
E0068,2025-03,0.0
E0068,2025-04,7.3
E0068,2025-05,6.9
E0068,2025-06,1.4
E0068,2025-07,2.7
E0068,2025-08,13.6
E0068,2025-09,5.2
E0068,2025-10,6.9
E0068,2025-11,8.9
E0068,2025-12,6.1
E0068,2026-01,19.1
E0068,2026-02,18.0
E0068,2026-03,13.6
E0069,2025-01,11.4
E0069,2025-02,3.0
E0069,2025-03,4.3
E0069,2025-04,4.3
E0069,2025-05,2.8
E0069,2025-06,2.4
E0069,2025-07,6.1
E0069,2025-08,11.4
E0069,2025-09,1.2
E0069,2025-10,5.2
E0069,2025-11,9.0
E0069,2025-12,13.9
E0069,2026-01,15.8
E0069,2026-02,14.0
E0069,2026-03,11.8
E0070,2025-01,10.8
E0070,2025-02,6.3
E0070,2025-03,4.8
E0070,2025-04,11.6
E0070,2025-05,10.6
E0070,2025-06,7.1
E0070,2025-07,6.2
E0070,2025-08,15.1
E0070,2025-09,14.5
E0070,2025-10,8.6
E0070,2025-11,7.9
E0070,2025-12,2.5
E0070,2026-01,16.2
E0070,2026-02,15.8
E0070,2026-03,19.1
E0071,2025-01,2.8
E0071,2025-02,7.4
E0071,2025-03,0.0
E0071,2025-04,5.0
E0071,2025-05,5.3
E0071,2025-06,5.3
E0071,2025-07,0.0
E0071,2025-08,1.3
E0071,2025-09,0.1
E0071,2025-10,10.5
E0071,2025-11,8.8
E0071,2025-12,4.1
E0071,2026-01,10.7
E0071,2026-02,13.4
E0071,2026-03,14.1
E0072,2025-01,22.1
E0072,2025-02,22.0
E0072,2025-03,20.7
E0072,2025-04,14.5
E0072,2025-05,22.1
E0072,2025-06,30.1
E0072,2025-07,23.2
E0072,2025-08,19.5
E0072,2025-09,23.0
E0072,2025-10,21.1
E0072,2025-11,18.0
E0072,2025-12,17.5
E0072,2026-01,12.8
E0072,2026-02,17.4
E0072,2026-03,17.0
E0073,2025-01,24.4
E0073,2025-02,18.4
E0073,2025-03,24.3
E0073,2025-04,23.9
E0073,2025-05,27.2
E0073,2025-06,23.6
E0073,2025-07,20.1
E0073,2025-08,24.9
E0073,2025-09,28.4
E0073,2025-10,22.2
E0073,2025-11,30.7
E0073,2025-12,24.7
E0073,2026-01,14.5
E0073,2026-02,14.5
E0073,2026-03,12.6
