사번,부서,직급,입사일,재직상태,채용경로
E0108,재무,대리,2022-10-02,재직,공채
E0109,인사,차장,2017-08-25,재직,공채
E0110,CS,과장,2025-02-09,재직,추천
E0111,개발,대리,2016-06-18,퇴사,공채
E0112,CS,대리,2025-03-18,재직,수시
E0113,인사,대리,2015-01-14,재직,수시
E0114,영업,부장,2018-08-22,퇴사,공채
E0115,생산,과장,2024-11-28,재직,공채
E0116,영업,과장,2015-09-28,재직,공채
E0117,인사,대리,2019-12-02,재직,공채
E0118,개발,사원,2023-07-22,재직,공채
E0119,인사,사원,2019-02-26,재직,공채
E0120,생산,사원,2019-05-03,재직,공채
E0121,개발,사원,2016-04-07,재직,공채
E0122,생산,부장,2016-06-06,퇴사,공채
E0123,재무,사원,2022-09-18,재직,공채
E0124,CS,사원,2017-05-04,재직,공채
E0125,영업,대리,2022-10-10,재직,추천
E0126,재무,대리,2020-08-07,재직,수시
E0127,인사,차장,2025-05-21,재직,공채
E0128,재무,사원,2024-04-18,재직,공채
E0129,영업,부장,2024-11-04,퇴사,공채
E0130,개발,사원,2016-03-18,재직,수시
E0131,CS,부장,2021-04-17,재직,수시
E0132,생산,대리,2021-01-16,재직,추천
E0133,개발,과장,2020-09-14,재직,공채
E0134,CS,사원,2025-03-21,재직,공채
E0135,재무,대리,2023-01-06,재직,공채
E0136,인사,과장,2018-05-06,재직,공채
E0137,재무,사원,2024-08-22,재직,수시
E0138,영업,사원,2024-06-11,재직,수시
E0139,영업,부장,2024-01-31,재직,공채
E0140,인사,대리,2021-09-06,퇴사,공채
E0141,CS,차장,2018-05-12,재직,공채
E0142,개발,과장,2020-09-22,재직,추천
E0143,영업,대리,2021-06-20,재직,수시
E0144,영업,사원,2016-02-12,퇴사,수시
E0145,인사,부장,2017-06-13,재직,추천
E0146,개발,대리,2021-03-03,재직,수시
E0147,재무,사원,2018-06-18,재직,공채
E0148,생산,과장,2020-09-19,재직,공채
E0149,인사,사원,2022-03-20,재직,공채
E0150,개발,차장,2020-07-03,재직,공채
E0151,생산,사원,2022-07-24,재직,공채
E0152,인사,사원,2018-10-18,재직,공채
E0153,재무,사원,2017-06-16,재직,공채
E0154,재무,사원,2015-04-05,재직,수시
E0155,개발,대리,2016-06-23,재직,수시
E0156,개발,과장,2023-10-21,재직,공채
E0157,재무,과장,2020-10-07,재직,공채
E0158,재무,과장,2025-03-01,재직,공채
E0159,인사,대리,2022-12-11,재직,추천
E0160,CS,대리,2016-05-23,퇴사,공채
E0161,CS,차장,2022-01-04,재직,공채
E0162,개발,대리,2022-10-17,재직,공채
E0163,생산,사원,2017-11-11,재직,공채
E0164,재무,대리,2017-01-07,재직,공채
E0165,생산,사원,2018-05-12,재직,공채
E0166,개발,사원,2022-07-09,퇴사,공채
E0167,개발,과장,2023-01-13,재직,공채
E0168,영업,차장,2016-04-15,재직,공채
E0169,재무,대리,2015-10-11,재직,공채
E0170,CS,과장,2016-01-07,재직,공채
E0171,CS,사원,2019-03-02,재직,공채
E0172,개발,대리,2024-04-26,재직,추천
E0173,개발,대리,2023-06-26,재직,공채
E0174,재무,대리,2022-12-12,재직,수시
E0175,영업,사원,2020-12-16,재직,수시
E0176,영업,과장,2018-11-04,재직,수시
E0177,영업,과장,2016-05-21,재직,수시
E0178,영업,대리,2018-01-23,재직,공채
E0179,인사,사원,2016-07-31,재직,공채
E0180,재무,사원,2018-04-15,재직,공채
E0181,재무,사원,2021-11-25,재직,추천
E0182,재무,사원,2024-09-27,퇴사,공채
E0183,CS,과장,2017-10-04,재직,공채
E0184,영업,과장,2024-02-29,재직,공채
E0185,영업,대리,2016-10-29,재직,공채
E0186,CS,차장,2018-12-17,재직,공채
E0187,CS,사원,2024-11-11,퇴사,공채
E0188,개발,과장,2020-03-22,재직,공채
E0189,인사,사원,2021-06-25,재직,공채
E0190,CS,사원,2020-10-06,퇴사,공채
E0191,재무,사원,2015-09-30,재직,공채
E0192,인사,부장,2018-05-06,재직,공채
E0193,CS,대리,2023-08-17,재직,공채
E0194,재무,사원,2023-04-18,재직,공채
E0195,영업,대리,2015-02-10,재직,공채
E0196,영업,사원,2017-01-07,재직,공채
E0197,재무,사원,2019-12-02,재직,공채
E0198,생산,과장,2018-06-22,재직,공채
E0199,영업,사원,2023-06-22,재직,공채
E0200,개발,차장,2016-12-09,퇴사,공채
E0201,CS,대리,2021-04-02,재직,추천
E0202,영업,사원,2015-05-06,재직,공채
E0203,개발,사원,2017-02-16,재직,공채
E0204,인사,대리,2017-04-15,재직,공채
E0205,영업,사원,2020-12-27,재직,공채
E0206,CS,대리,2017-05-28,재직,공채
E0207,영업,과장,2016-01-29,재직,추천
E0208,CS,과장,2017-04-07,재직,공채
E0209,인사,과장,2020-12-14,재직,공채
E0210,CS,차장,2023-09-21,퇴사,공채
E0211,개발,사원,2020-04-27,퇴사,공채
E0212,생산,사원,2017-04-16,재직,추천
E0213,CS,과장,2016-06-08,재직,공채
E0214,CS,사원,2018-06-05,재직,공채
E0215,개발,대리,2024-11-01,재직,공채
E0216,재무,과장,2015-05-26,재직,공채
E0217,재무,대리,2023-11-09,재직,공채
E0218,재무,사원,2017-01-04,재직,공채
E0219,CS,과장,2022-08-07,재직,공채
E0220,인사,과장,2020-04-07,재직,공채
E0221,개발,사원,2015-06-18,재직,공채
E0222,CS,대리,2019-04-11,재직,공채
E0223,영업,대리,2018-02-22,재직,공채
E0224,CS,사원,2015-10-27,재직,공채
E0225,재무,사원,2024-02-04,재직,추천
E0226,개발,사원,2017-07-26,재직,헤드헌팅
E0227,영업,과장,2016-06-05,재직,수시
E0228,개발,대리,2020-11-22,재직,공채
E0229,인사,부장,2016-09-09,재직,수시
E0230,재무,사원,2017-08-26,재직,수시
E0231,생산,부장,2024-10-24,재직,추천
E0232,CS,대리,2019-09-14,재직,공채
E0233,재무,사원,2020-04-19,재직,공채
E0234,재무,사원,2016-05-20,재직,공채
E0235,인사,대리,2015-10-29,재직,공채
E0236,영업,과장,2016-10-14,재직,공채
E0237,재무,과장,2024-01-15,재직,공채
E0238,영업,과장,2015-03-05,퇴사,공채
E0239,영업,사원,2022-03-22,퇴사,공채
E0240,인사,사원,2021-03-29,재직,공채
E0241,재무,사원,2019-06-11,재직,공채
E0242,CS,사원,2023-11-29,재직,공채
E0243,인사,과장,2015-11-15,재직,공채
E0244,인사,차장,2019-08-09,재직,공채
E0245,생산,사원,2017-04-08,재직,공채
E0246,CS,과장,2015-04-02,재직,추천
E0247,인사,사원,2025-02-23,재직,공채
E0248,생산,사원,2017-08-18,재직,공채
E0249,영업,사원,2015-03-05,재직,추천
E0250,CS,사원,2017-04-23,재직,공채
E0251,CS,사원,2015-08-07,퇴사,공채
E0252,영업,대리,2016-12-04,재직,공채
E0253,개발,대리,2016-09-10,재직,공채
E0254,CS,사원,2020-04-16,재직,공채
E0255,개발,대리,2015-09-04,퇴사,공채
E0256,영업,대리,2017-08-21,재직,공채
E0257,재무,부장,2019-02-05,재직,공채
E0258,개발,과장,2017-10-10,재직,공채
E0259,인사,차장,2015-02-26,재직,수시
E0260,CS,대리,2017-12-04,재직,수시
E0261,개발,과장,2018-01-14,재직,수시
E0262,CS,사원,2020-07-21,재직,공채
E0263,영업,과장,2017-11-27,재직,추천
E0264,재무,사원,2021-02-07,재직,공채
E0265,영업,사원,2021-01-20,재직,공채
E0266,재무,사원,2017-01-26,재직,추천
E0267,CS,대리,2020-02-02,재직,공채
E0268,개발,사원,2020-03-27,재직,공채
E0269,인사,부장,2015-05-06,재직,공채
E0270,인사,사원,2023-12-23,재직,공채
E0271,영업,차장,2015-09-24,재직,공채
E0272,CS,사원,2021-07-29,재직,공채
E0273,재무,과장,2024-07-14,재직,공채
E0274,개발,과장,2019-06-11,재직,공채
E0275,재무,대리,2019-08-08,재직,공채
E0276,재무,대리,2023-09-29,재직,수시
E0277,재무,과장,2019-03-12,재직,수시
E0278,CS,대리,2020-06-29,재직,헤드헌팅
E0279,개발,대리,2016-09-01,재직,수시
E0280,CS,대리,2016-04-13,재직,공채
E0281,재무,사원,2017-03-11,재직,공채
E0282,CS,사원,2015-05-13,재직,공채
E0283,인사,사원,2024-06-12,재직,공채
E0284,영업,차장,2023-05-18,재직,공채
E0285,생산,과장,2022-12-06,재직,공채
E0286,재무,사원,2017-10-16,재직,공채
E0287,인사,대리,2015-11-14,재직,공채
E0288,CS,대리,2019-05-20,재직,공채
E0289,인사,사원,2016-12-11,퇴사,공채
E0290,영업,과장,2023-10-02,재직,공채
E0291,영업,과장,2016-03-26,재직,공채
E0292,생산,과장,2020-02-25,재직,공채
E0293,생산,차장,2019-10-10,재직,수시
E0294,생산,대리,2023-12-24,재직,추천
E0295,개발,대리,2018-08-16,재직,공채
E0296,개발,과장,2024-09-30,재직,공채
E0297,인사,과장,2022-05-04,재직,공채
E0298,CS,차장,2015-05-22,재직,공채
E0299,영업,과장,2023-05-10,재직,공채
E0300,재무,사원,2019-02-06,퇴사,헤드헌팅
